customer_text,gold_intent,pred_intent,gold_should_escalate,pred_decision,pred_reason,draft_reply,judge_grounded,judge_helpful,judge_tone,judge_overall
@AmazonHelp Oui si je viens ici s'est sue j'ai pas forcÃ©ment eue de nouvelles,cannot_reach_support,cannot_reach_support,False,auto_handle,The reply is a standard clarification request without sensitive or escalated issues.,Nous sommes désolés de ne pas avoir pu vous répondre. Pouvez‑vous nous préciser votre problème afin que nous puissions vous aider ? ^KE,2,2,4,2
"@AmazonHelp says â€œ Saturday, 25 November
12:03 AM
Parcel left the carrier facility
Manchester, STRETFORD GB â€œ",delivery_delay,delivery_delay,False,auto_handle,Simple delivery status issue with no refund or escalation needed,@Customer Sorry to hear this. Please reach us by phone or chat at https://t.co/JzP7hlA23B so we can look into it and find a solution. ^WT,3,2,3,3
@AmazonHelp So this isn't a permanent change?,other_or_unclear,other_or_unclear,False,auto_handle,"Simple clarification question with no financial, legal, or security concerns.","@123456 That's correct, this isn’t a permanent change. Let us know if you have any other questions! ^TK",2,3,2,2
@AmazonHelp This is what I was talking about...!!? Why did Amazon using Aramax to deliver their hero product...!!?? https://t.co/RmEUdMQgQA,delivery_delay,other_or_unclear,False,auto_handle,"The complaint is about delivery partner without financial or safety issues, and the drafted reply is appropriate.",@466086 We’re sorry for the confusion. Please avoid sharing order tracking details publicly. We’ll investigate the delivery issue and get back to you shortly. ^RS,3,2,3,3
@AmazonHelp hey...anybody there to help me? :),cannot_reach_support,cannot_reach_support,False,escalate,Drafted reply is incomplete and expresses uncertainty,@[User] We're happy to help! Could you DM us your order or account details (or share a few details here) so,2,2,3,2
A llegado la capturadora!!!! @31007 @115821 hoy el stream pega un salto de calidad! STREAM desde movil y tablet incoming!!!!! @31008 vicio importante hoy! https://t.co/sHBz5vwJLv,other_or_unclear,general_feedback_or_thanks,False,auto_handle,Positive feedback with no sensitive issues; safe to auto-send.,"@tuUsuario ¡Qué emoción que la capturadora haya llegado y el stream suba de nivel! Si necesitas ayuda con la configuración, aquí estamos. 🎮 ^DA",3,3,5,4
@115850  https://t.co/JaLEb3OG0B,other_or_unclear,other_or_unclear,False,auto_handle,"No money, legal, security concerns and reply is confident",@115850 We cross‑checked and the app appears to be running fine. Please try again in a little while and let us know if the issue persists. ^CB,3,2,3,3
@AmazonHelp And one just hung up on me,cannot_reach_support,cannot_reach_support,True,auto_handle,"Simple support issue with no monetary, legal, security, or strong anger triggers.","@123456 Sorry you were hung up on. Could you DM us a bit more about the call (date, issue) so we can investigate and help you promptly? ^SM",2,3,3,2
"@AmazonHelp Sin problemas! El repartidor sabe que es barrio de fiar! No me gustarÃ­a que se convirtiera en costumbre, pero por una vez no pasa nada ;-)",general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,Positive feedback with no sensitive issues,"@Usuario Gracias por compartirlo, nos alegra que todo haya salido bien. Si tienes más comentarios, puedes enviarlos aquí: https://t.co/R2bbtV09QK ^LG",3,3,4,3
@AmazonHelp @115850 I gave the 48 hours you guys asked. Money is still not reflecting in my account. Is has been more than 2 weeks now. WHERE IS MY MONEY? GIVE MY MY MONEY. #AmazonFails @115851 #AmazonFraud #AmazonPay #AmazonPayQuiz,refund_or_return_request,refund_or_return_request,True,escalate,Angry refund request involving money needs human handling,@130696 We're very sorry for the wait. Please fill out this form so we can track your refund: https://t.co/XXXXX. We'll review and update you promptly. ^AR,3,3,3,3
"@115850 i placed an order details as following:-ORDER PLACED
5-10-17
ORDER-
406-6819621-4057152 
&amp; still the status of order is showing ðŸ˜¡ðŸ˜¡ https://t.co/flsrbUAdh4",delivery_delay,order_not_delivered,True,auto_handle,"Simple order status inquiry without refund, security, or strong negative sentiment.","@User Orders are typically delivered by the estimated delivery date. We’re checking on yours – please don’t share order details publicly. For a quicker look, DM us or visit: https://t.co/xxxx ^NR",4,3,3,3
@AmazonHelp What's to escalate? I wait or cancel order? Any way to flag our account to never use AMZL? Driver's rude to building security or like about delivery attempts. No issues with @115817 cuz they are professional.,cannot_reach_support,delivery_delay,True,auto_handle,"Customer requests carrier change, no refund or security issue",@363984 We’re sorry about the experience. Let’s explore alternative carriers for you. Please reply using the secure link we sent so we can resolve this quickly. Thank you. ^SE,2,3,4,3
...how is it possible that my #FireTV remote died the same day my device can't find the app? @AmazonHelp omg,other_or_unclear,other_or_unclear,False,auto_handle,"Simple technical issue without refund, legal, security, or strong anger concerns.",@customer Oh no! Sorry to hear about your remote and app issues. Please reach us by phone or chat so we can sort it out: https://t.co/hApLpMlfHN ^LL,4,3,4,4
Avis Ã  tous ! Demain câ€™est #BlackFriday2017 espÃ©rez quâ€™il ne pleuve pas car les livreurs dâ€™ .@120533 balancent gentiment les colis sous la pluie ! #FachÃ©TrÃ¨sFachÃ© https://t.co/izRAuXCWyP,delivery_delay,general_feedback_or_thanks,False,auto_handle,"The issue is a delivery complaint without refund or legal concerns, and the reply is appropriate.","Bonsoir, nous sommes vraiment désolés pour ce désagrément. Pouvez‑vous nous indiquer le transporteur qui a pris en charge votre colis afin que nous puissions enquêter ? Merci. ^KE",4,3,4,4
"@172897 @115821 Thanks for checking in - yeah, I got a replacement pack today and it was the Mediterranean AGAIN!",general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,Simple feedback with no monetary or safety concerns; drafted reply is appropriate.,@172897 We're sorry the replacement was the same Mediterranean pack again. Could you DM us your order # so we can get you a different variety? Thanks for your patience! ^JD,4,4,4,4
"Why are Amazon prime packages delivered in such a shady way? Like, hello there unmarked white van coming down our driveway, thank you for the package",other_or_unclear,other_or_unclear,False,escalate,User raises a safety concern and the draft reply shows uncertainty,@User Hi! Thanks for reaching out. Could you let us know which carrier delivered your package? Please verify here: https://t.co/zmfaHSOBuP. Happy to help! ^KJ,2,2,3,2
"@120533 Bonjour :) J'ai un soucis avec une commande, impossible de contacter le SAV, possible de m'aider par DM ? La bise &lt;3",cannot_reach_support,cannot_reach_support,False,auto_handle,Simple support request without sensitive issues; drafted reply is appropriate.,"@120533 Bonjour, désolé pour ce désagrément. Merci de nous envoyer un DM afin que notre SAV puisse vous assister rapidement. ^SM",4,4,4,4
@AmazonHelp @115850 i have not received the amazon pay csshback against order 405-7981836-3136360 was that fake or what..,billing_or_charge_dispute,billing_or_charge_dispute,True,escalate,Issue involves a monetary cashback dispute,@123456 We’re sorry you haven’t received your Amazon Pay cashback. Please avoid posting order numbers publicly. DM us or contact support so we can look into this for you. ^AR,4,4,4,4
@AmazonHelp Yes I hav Spoken wit the cxt service and still no order. This is so bad. It was my wife's bday gift. Cant go out as they wld deliver anytime,delivery_delay,order_not_delivered,True,auto_handle,Simple delivery status request without sensitive or escalated concerns,@User Sorry to hear your gift hasn't arrived. Please share your order # via https://t.co/beaaDm0muc so we can locate it. We're on it and will update you shortly. ^HR,4,3,4,4
@AmazonHelp Sir my no. 9694538533 please call,cannot_reach_support,cannot_reach_support,False,auto_handle,Simple support request without sensitive issues; drafted reply is appropriate.,@194888 Please don’t share personal info publicly. We’ve sent you a secure email link to help with your request—check your inbox (and spam). Let us know if you need anything else. ^HA,5,3,3,3
@AmazonHelp Ok merci,general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,Simple thank‑you message with no issue requiring escalation,@123456 Merci à vous ! ^AR,2,2,3,2
"@AmazonHelp Gracias, si sucede algÃºn contratiempo se los hago saber. ðŸ‘",general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,"Simple thank‑you message with no money, legal, security, or negative sentiment concerns.","@987654 Por supuesto, estamos para ayudarte. Si ocurre algún contratiempo, háznoslo saber. ¡Saludos! ^XZ",2,3,3,3
@AmazonHelp top service. Common sense prevailed. You need to give some lessons to your live chat and call centre teams ðŸ‘ðŸ‘ðŸ‘ðŸ‘,general_feedback_or_thanks,general_feedback_or_thanks,False,escalate,Message shows strong negative sentiment and criticism toward support staff,@User Thank you for the feedback. Let us know if there's anything else we can help you with. ^MI,2,1,2,2
@AmazonHelp what is Twitter handle means please?,other_or_unclear,other_or_unclear,False,auto_handle,Simple informational query with no risk factors.,"@123456 A Twitter handle is the @username you see in the URL (e.g., @AmazonHelp). No need to share personal details here—our page is public. ^VN",2,4,2,3
@2600 i got an external dvd drive that lasted only a few months and now it died with a brand new dvd inside.... thanks amazon for a double loss.,refund_or_return_request,refund_or_return_request,True,escalate,Refund request involves money and the draft shows uncertainty.,"@2600 Hello, I’m sorry to hear that. Is the item sold by Amazon or a third‑party seller? ^MD",2,2,3,2
@115851 @115850 Thanks! but that doesnâ€™t solves my problem and question remains unanswered,cannot_reach_support,other_or_unclear,True,auto_handle,"The message shows mild frustration without financial, legal, or security concerns, and the drafted reply is appropriate.",@115851 Sorry we missed the mark. Please DM us with more details (avoid sharing order numbers publicly) so we can help you further. ^GD,4,3,4,4
Leider passiert das viel zu oft wenn @116316 mit #AmazonLogistics versendet. Und dafÃ¼r zahlt man fÃ¼r Prime... https://t.co/eLnT6myQxI,delivery_delay,delivery_delay,True,auto_handle,The reply defers to customer service without uncertainty and the issue is a standard delivery delay complaint.,"@123456 Hallo, bitte wende dich an unseren Kundenservice, damit wir das prüfen können: https://t.co/24XL9C4y1x Grüße ^AK",3,4,3,3
@115830 I have never had such bad service from a company. Cant even tell me when it will be delivered. What a joke,delivery_delay,delivery_delay,True,escalate,Customer expresses strong negative sentiment and anger,@115830 I’m sorry for the wait! Could you share the delivery date from your order‑confirmation email here: https://t.co/7QWGZ89iVs? We’ll sort this out for you. ^JM,3,3,3,3
Why was my account charger twice for amazon prime! Iâ€™m not about to play with yâ€™all  @AmazonHelp @115821,billing_or_charge_dispute,billing_or_charge_dispute,True,escalate,Billing dispute involving double charge requires human review,"@115821 Hi, sorry for the double charge. Please reach out here so we can review your account: https://t.co/hApLpMlfHN ^JJ",2,2,2,2
@AmazonHelp No han contestado todavia ðŸ™,cannot_reach_support,cannot_reach_support,False,auto_handle,"simple support request without money, legal, security, or strong anger","@123456 Hola, lamentamos la demora. Por favor contacta a Servicio al Cliente aquí: https://t.co/OjvUxwnzPe. Si no recibes respuesta, avísanos. ^DA",4,4,4,4
@AmazonHelp Can you guys provide me with the ETA,delivery_delay,delivery_delay,False,escalate,Drafted reply is uncertain about ETA,@123456 We are working on this. We'll get back with an update as soon as possible within 6 hours. ^NR,2,2,2,2
@AmazonHelp Your Algorithm must have proper checks :p I don't know why didn't you guys catcht it in your self testing and deployed code live :p,other_or_unclear,general_feedback_or_thanks,False,auto_handle,"Feedback without monetary, legal, or security concerns; drafted reply is appropriate.",@User We’re sorry you ran into this. Please contact us here: https://t.co/xxxx so we can investigate further. ^SQ,4,3,2,3
"@115821 my S&amp;S last 3 months of shipments haven't been sealed. This box is the worst I've seen. Frankly, I'm amazed that nothing is missing. https://t.co/372hjkKayj",other_or_unclear,other_or_unclear,False,auto_handle,Simple product complaint without refund or safety request; drafted reply is appropriate.,@115821 Oh no! Sorry to hear about the unsealed boxes. We appreciate your feedback—please share details here so we can improve: https://t.co/e0MtCfwVVB,4,3,4,4
"Another week, another @115830 cock upâ€¦ customer services are completely useless! @AmazonHelp please contact me.",cannot_reach_support,cannot_reach_support,True,escalate,Customer expresses strong anger and frustration,@User I’m really sorry you’re dealing with this. Please DM us or share more details here: https://t.co/yourlink so we can investigate and get this sorted for you. Thank you for your patience! ^CN,4,3,4,4
"@115850 orderid#171-9136327-8982746 order date nov15,2017.pathetic packaging https://t.co/3lXZm9HAWr seal was opened.proper bill not provided.look into this matter ASAP.",refund_or_return_request,refund_or_return_request,True,escalate,customer is requesting a refund due to packaging issues,@115850 I'm sorry about the packaging and missing bill. Please report this with your order ID here: https://t.co/2t6DQoUmNZ and we’ll look into it and follow up soon. 1/2 ^AP,4,3,3,3
"@AmazonHelp For the past couple of days, I keep getting this message when I try to move items to my idea list. Any idea what the issue is? https://t.co/687Fg4tE2h",account_or_access_issue,account_or_access_issue,False,escalate,Drafted reply expresses uncertainty about the issue,"@YourHandle We aren't aware of any ongoing issues right now. Try clearing your browser's cache and cookies, then attempt again. Keep us posted if it’s still happening. ^FJ",3,3,2,3
my amazon fire stick has zoomed in and idk how to fix it plz someone help me @115830 @AmazonHelp https://t.co/zmSGdAUocy,other_or_unclear,other_or_unclear,False,auto_handle,Simple technical issue with clear resolution steps; no escalation criteria met.,"@192168 Select Settings from the Fire TV menu, open Display & Sounds, then Display + Calibrate Display. That should fix the zoom issue. ^KM",4,4,2,3
@115821 hope this driver doesnâ€™t do this with all your deliveries. #BROKEN #Amazon #christmasgifts https://t.co/aYgjhCDVG3,other_or_unclear,other_or_unclear,False,escalate,Strong negative sentiment regarding broken delivery requires human handling,@115821 We're sorry to hear about this! Please help us investigate by filling out this secure form from a non‑mobile device: https://t.co/tkLCr7DNil ^TS,2,2,3,2
@AmazonHelp Please can you contact me about this? Your app now isnâ€™t authenticating me following a password change.,account_or_access_issue,account_or_access_issue,True,escalate,Issue pertains to account security after password change,@123456 Sorry you’re having trouble after the password change. Please use this link to reset or sign in: https://t.co/abcd1234 ^JJ,1,2,1,1
@AmazonHelp On peut Ã©changer par MP pour des SMS recus Ã©tranges? Merci,account_or_access_issue,account_or_access_issue,True,auto_handle,"The request is a simple private message exchange without security, legal, or financial concerns.","@123456 Bien sûr, nous pouvons passer en MP pour examiner ces SMS étranges. Envoyez‑nous un DM dès que possible. ^ARC",2,3,3,3
@AmazonHelp Eu jÃ¡ fiz isso ðŸ˜…,other_or_unclear,other_or_unclear,False,auto_handle,"No money, legal, security or strong negative sentiment; simple unclear query can be auto‑handled.","Entendemos, caso ainda precise de ajuda, por favor entre em contato com o nosso SAC: https://t.co/qGpkDwGRhX ^HC",2,2,3,2
@AmazonHelp No Problemo ðŸ˜˜,general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,Positive general feedback with no escalation criteria met,ありがとうございます 😊 これからもよろしくお願いいたします！ ^BR,1,1,2,1
".@116316 Laut .@122924 Paketverfolgung wurde bei einem Lieferpartner (Tankstelle!) mittags niemand angetroffen! Witz,oder??? ðŸ˜ ",order_not_delivered,order_not_delivered,True,escalate,Customer expresses strong frustration about undelivered package,"@122924 Es tut uns leid, dass niemand an der Tankstelle war. Wir leiten das sofort weiter – bitte schick uns deine Bestell‑Nr per DM oder nutze https://t.co/xxxx. Danke! ^TA",4,4,3,4
@115821 wheres my package? it was supposed to come today with prime. itâ€™s 4:30 pm today and its still not here.,delivery_delay,delivery_delay,True,auto_handle,"Simple delivery delay query without refund, legal, security, or strong anger; drafted reply is appropriate.",@123456 We're sorry your package hasn't arrived yet. Deliveries can be made until 8 PM. Please let us know if it isn’t there by then and share the carrier info so we can investigate. ^BV,3,3,3,3
@116928 No ha hecho nada para resolver este problema con @137863,other_or_unclear,cannot_reach_support,True,escalate,strong negative sentiment/anger,@116928 Lamentamos la molestia. ¿Has contactado a nuestro Servicio al Cliente para que podamos ayudar con el caso? ^AZ,3,3,4,3
@115850 check out this screenshot from your app. I am feeling cheated. Order ID 4__credit_card__ https://t.co/l0tGELT105,billing_or_charge_dispute,billing_or_charge_dispute,True,escalate,billing dispute involving potential refund,@115850 Sorry you’re feeling this way. For security we can’t view order details publicly. Please DM us or use the secure link we sent to share your Order ID so we can investigate and resolve. Thank you. ^HS,4,3,3,3
"@AmazonHelp Done. 
Check this asap.",other_or_unclear,other_or_unclear,False,escalate,Drafted reply expresses uncertainty about the request,@333405 Thank you for the update. We will check and connect with you accordingly. ^RW,2,2,3,2
@120540 Questa fatidica app di Amazon prime video quando la farete uscire sullâ€™Apple Tv...ðŸ¤¬,other_or_unclear,other_or_unclear,False,escalate,Drafted reply expresses uncertainty about the information.,"@123456 Al momento non abbiamo informazioni sulla versione Apple TV di Prime Video. Quando ci saranno novità, le troverai qui: https://t.co/xxxx ^RS",4,3,3,3
@115830 Bought as new from Prime - clearly damaged before you sent it out as itâ€™s been resealed before being boxed up for shipment! Care to comment?! #CustomerService https://t.co/AwKnoICDlq,refund_or_return_request,refund_or_return_request,True,escalate,"Customer is requesting a refund for a damaged item, which involves monetary compensation",@115830 I’m sorry your item arrived damaged—that’s not the service we aim for. Please see refund/replacement options here: https://t.co/RefundLink ^TR,4,4,4,4
